input_len,output_len,batch_size,tp,avg_latency,avg_prefill_latency,avg_decode_latency,avg_decode_per_iter_latency,elapsed_time,num_requests,total_num_tokens,requests_per_second,tokens_per_second,prefill_throughput,decode_throughput,prefill_tokens,decode_tokens,prefill_time,decode_time
32,32,1,1,0.8688131938688457,0.052353620529174805,0.7916347980499268,0.025536606388707316,0.9741581841371953,1.0,65.0,1.026527330246363,66.72427646601359,208.35426780529,40.930109328728136,33.0,32.0,0.15838408470153809,0.78182053565979
32,32,1,8,0.4044802710413933,0.06355810165405273,0.33122944831848145,0.010684820913499402,2.4165557520464063,1.0,68.0,0.4138120956461163,28.13922250393591,17.52317360638524,93.43066473889857,36.0,32.0,2.054422378540039,0.3424999713897705
32,32,8,1,0.8916851552203298,0.06167340278625488,0.8043625354766846,0.02594717856376402,2.2865729983896017,8.0,525.0,3.498685590022395,229.60124184521965,23.176038574180396,40.049905975719,269.0,256.0,11.606815338134766,6.392024993896484
32,32,8,8,0.43374024191871285,0.0630788803100586,0.3596975803375244,0.011603147752823369,2.429898419417441,8.0,529.0,3.292318697798886,217.70457389195133,16.685344658754538,88.25056694486251,273.0,256.0,16.361663818359375,2.9008312225341797
32,32,16,1,0.9357154620811343,0.09757041931152344,0.8119187355041504,0.026190926951746785,2.3485307791270316,16.0,1063.0,6.8127699846230385,452.62340585339314,23.003159003159002,39.378213873500556,551.0,512.0,23.953231811523438,13.002113342285156
32,32,16,8,0.4578714082017541,0.06522178649902344,0.38045430183410645,0.012272719414003434,2.473141591064632,16.0,1075.0,6.469504236153482,434.6698158665621,17.081445587242328,82.56001141662756,563.0,512.0,32.959739685058594,6.201549530029297
32,32,32,1,1.0734738348983228,0.17322349548339844,0.8709020614624023,0.028093614885883945,2.503949735313654,32.0,2147.0,12.779809254434399,857.445327164708,22.11126576958078,36.74168096993986,1123.0,1024.0,50.78858947753906,27.870254516601562
32,32,32,8,0.517512084916234,0.06808757781982422,0.43473052978515625,0.014023565476940524,2.7601427980698645,32.0,2128.0,11.593603063717293,770.9746037371999,15.181764779385528,70.18382805873746,1104.0,1024.0,72.71881866455078,14.590255737304688
32,32,64,1,1.4098131260834634,0.32401013374328613,1.0493247509002686,0.03384918551291189,2.807735851034522,64.0,4243.0,22.79416704260799,1511.1820431529015,19.75122099975409,31.516888778158627,2195.0,2048.0,111.13236999511719,64.98103332519531
32,32,64,8,0.6551850321702659,0.11000943183898926,0.5260531902313232,0.016969457749397523,3.3614704329520464,64.0,4281.0,19.0392869062945,1273.5498007163555,16.383741367271295,26.973108228062678,2233.0,2048.0,136.2936553955078,75.92747497558594
32,32,128,1,2.106018058024347,0.6332681179046631,1.4211206436157227,0.045842601406958804,2.3011904270388186,128.0,8504.0,55.6233845300282,3695.4786097137485,43.37079068683692,22.48559453474537,4408.0,4096.0,101.63522338867188,182.16107177734375
32,32,128,8,0.9438659669831395,0.19408154487609863,0.7210307121276855,0.023259055229925333,3.6400640881620347,128.0,8534.0,35.16421604121553,2344.464216372917,15.759654204033579,23.293487640115597,4438.0,4096.0,281.60516357421875,175.8431396484375
32,32,256,1,3.533224917948246,1.279055118560791,2.1717324256896973,0.07005588469966764,5.046664006076753,256.0,16989.0,50.72657892258076,3366.382223889549,12.427466061811211,14.908417867078242,8797.0,8192.0,707.8675537109375,549.4882202148438
32,32,256,8,1.5222301962785423,0.3670938014984131,1.107846975326538,0.035736999204081875,3.848189814016223,256.0,17049.0,66.52478499568129,4430.39476324754,13.14681530136786,28.703890681278768,8857.0,8192.0,673.6992797851562,285.3968505859375
32,32,512,1,7.3768702880479395,1.284584879875183,2.32226824760437,0.0749118789549797,7.484395494218916,512.0,34006.0,68.408998481638,4543.586723372229,23.25287049906729,14.978310599421,17622.0,16384.0,757.8419189453125,1093.8483276367188
32,32,512,8,3.069253379944712,0.37877142429351807,1.109500527381897,0.035790339592964425,5.240695336833596,512.0,34000.0,97.69695948578992,6487.688715853236,31.326191412198373,22.390976727387077,17616.0,16384.0,562.3409423828125,731.7233276367188
32,32,1024,1,14.188088375143707,1.2935253381729126,2.1722996830940247,0.0700741833256137,14.80174440285191,1024.0,67920.0,69.18103516249761,4588.648347887536,24.013680112784545,14.893035690240696,35152.0,32768.0,1463.832275390625,2200.2230224609375
32,32,1024,8,6.103171189781278,0.3720882534980774,1.1072543263435364,0.035717881494952794,13.249700466170907,1024.0,67901.0,77.28476599259534,5124.71962467111,16.241907693886077,28.796830278249093,35133.0,32768.0,2163.1079711914062,1137.9030151367188
64,32,1,1,0.8664128859527409,0.051415443420410156,0.7901968955993652,0.0254902224386892,2.2583984322845936,1.0,101.0,0.4427916640857747,44.72195807266325,47.935855619490574,40.78255952418934,69.0,32.0,1.4394235610961914,0.784649133682251
64,32,1,8,0.4118290380574763,0.06349515914916992,0.3383605480194092,0.010914856387722877,2.4179419558495283,1.0,98.0,0.41357485756876095,40.53033604173857,32.124845235648564,93.1570071260556,66.0,32.0,2.0544846057891846,0.3435060977935791
64,32,8,1,0.9248238210566342,0.09610247611999512,0.8031067848205566,0.025906670478082473,2.3254197142086923,8.0,798.0,3.4402391753706656,343.16385774322384,45.442327248164204,40.1409376904723,542.0,256.0,11.927206039428711,6.377529144287109
64,32,8,8,0.4409665339626372,0.06371188163757324,0.3662073612213135,0.0118131406845585,2.4506462342105806,8.0,804.0,3.2644450628252413,328.07672881393677,33.143013500154,88.881027069373,548.0,256.0,16.534404754638672,2.8802547454833984
